证券代码,订单日期,证券名称,订单等级,订单数量,订单金额,折扣点,运输方式,2018净利润（万元）,单价,运输成本,区域,省份,产品类型,行业类别,产品名称,产品包箱,运输日期
17831,2012/10/25 0:00,陈正立,中级,34,239.3,0.06,火车,41.31,6.98,2.83,西北,宁夏,家具产品,办公装饰品,Kleencut_ Forged Office Shears by Acme United Corporation,小型包裹,2012/10/26 0:00
18178,2009/11/2 0:00,姚纪鹏,低级,10,187.46,0,火车,49.85,17.67,8.99,西北,宁夏,家具产品,办公装饰品,Kleencut_ Forged Office Shears by Acme United Corporation,小型包裹,2009/11/9 0:00
18179,2009/8/1 0:00,张玉,其它,50,3075.83,0.03,火车,1207.91,60.98,1.99,西北,宁夏,技术产品,电脑配件,Kleencut_ Forged Office Shears by Acme United Corporation,小型包裹,2009/8/1 0:00
18757,2012/5/22 0:00,张伟明,低级,43,319.96,0.01,空运,123.15,6.98,1.6,西北,宁夏,办公用品,纸张,Kleencut_ Forged Office Shears by Acme United Corporation,打包纸袋,2012/5/29 0:00
18788,2009/10/2 0:00,费英,其它,27,566.12,0.03,火车,-19.33,19.99,11.17,西北,宁夏,家具产品,办公装饰品,Kleencut_ Forged Office Shears by Acme United Corporation,大型箱子,2009/10/3 0:00
19494,2010/1/12 0:00,吴胡媛,高级,2,8.87,0.03,火车,-6.79,2.74,3.5,西北,宁夏,办公用品,笔、美术用品,Kleencut_ Forged Office Shears by Acme United Corporation,小型包裹,2010/1/15 0:00
19936,2012/11/13 0:00,李秋富,中级,19,36.75,0.06,火车,-9.82,1.88,1.49,西北,宁夏,办公用品,夹子及其配件 ,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2012/11/14 0:00
21635,2009/12/2 0:00,杨高宁,低级,2,65.31,0,火车,-34.42,24.92,12.98,西北,宁夏,办公用品,夹子及其配件 ,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2009/12/2 0:00
22211,2011/10/3 0:00,张新,其它,30,943.44,0.08,火车,-89.98,30.98,19.99,西北,宁夏,办公用品,纸张,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2011/10/5 0:00
22211,2011/10/3 0:00,张新,其它,47,14493.84,0,大卡,634.76,376.13,85.63,西北,宁夏,家具产品,桌子,Kleencut_ Forged Office Shears by Acme United Corporation,巨型纸箱,2011/10/4 0:00
22501,2010/5/18 0:00,胡小山,高级,2,30.83,0.04,空运,7.27,7.64,1.39,西北,宁夏,办公用品,信封,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2010/5/19 0:00
23559,2010/7/18 0:00,胡木,低级,14,425.67,0.03,空运,166.57,28.53,1.49,西北,宁夏,办公用品,夹子及其配件 ,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2010/7/25 0:00
23559,2010/7/18 0:00,胡木,低级,9,173.44,0.02,火车,-34.63,17.98,8.51,西北,宁夏,技术产品,办公机器,Kleencut_ Forged Office Shears by Acme United Corporation,中型箱子,2010/7/23 0:00
24450,2012/7/9 0:00,何伟民,中级,41,392.61,0.08,空运,-100.15,9.48,7.29,西北,宁夏,家具产品,办公装饰品,Kleencut_ Forged Office Shears by Acme United Corporation,小型包裹,2012/7/12 0:00
24450,2012/7/9 0:00,何伟民,中级,4,30.85,0.03,火车,-12.88,5.98,5.79,西北,宁夏,办公用品,纸张,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2012/7/11 0:00
24486,2011/4/22 0:00,邢罡,中级,14,27.06,0,火车,-0.06,1.76,0.7,西北,宁夏,办公用品,笔、美术用品,Kleencut_ Forged Office Shears by Acme United Corporation,打包纸袋,2011/4/23 0:00
25063,2009/6/29 0:00,李宇震,其它,24,711.875,0.04,火车,217.33,35.99,3.3,西北,宁夏,技术产品,电话通信产品,Kleencut_ Forged Office Shears by Acme United Corporation,小型包裹,2009/6/29 0:00
25092,2010/12/1 0:00,余春涛,高级,9,16.02,0.09,火车,-2.82,1.81,0.75,西北,宁夏,办公用品,橡皮筋,Kleencut_ Forged Office Shears by Acme United Corporation,打包纸袋,2010/12/3 0:00
25475,2009/4/4 0:00,张平敏,中级,49,305.96,0.06,火车,-191.49,6.48,7.49,西北,宁夏,办公用品,纸张,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2009/4/4 0:00
25793,2012/4/7 0:00,邓娟丽,低级,27,3436.771,0.04,火车,520,155.99,8.99,西北,宁夏,技术产品,电话通信产品,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2012/4/9 0:00
25799,2011/2/24 0:00,洪岩,低级,38,136.5,0.05,火车,-216.66,3.34,7.49,西北,宁夏,办公用品,笔、美术用品,Kleencut_ Forged Office Shears by Acme United Corporation,打包纸袋,2011/2/27 0:00
33731,2012/10/8 0:00,何春梅,高级,12,138.88,0.05,火车,-23.99,11.29,5.03,西北,宁夏,办公用品,容器，箱子,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2012/10/10 0:00
34853,2011/9/29 0:00,俞勇浩,中级,49,651.9,0.16,火车,-74.51,13.73,6.85,西北,宁夏,家具产品,办公装饰品,Kleencut_ Forged Office Shears by Acme United Corporation,打包纸袋,2011/10/2 0:00
35938,2012/11/17 0:00,鲁鸣,其它,6,1770.7,0.05,大卡,-448.25,280.98,57,西北,宁夏,家具产品,椅子,Kleencut_ Forged Office Shears by Acme United Corporation,巨型木箱,2012/11/19 0:00
36867,2009/9/5 0:00,王晨,高级,16,45.57,0.09,火车,2.81,2.88,0.7,西北,宁夏,办公用品,笔、美术用品,Kleencut_ Forged Office Shears by Acme United Corporation,打包纸袋,2009/9/7 0:00
36896,2009/11/3 0:00,王曦敏,中级,41,1008.95,0.04,空运,69.31,25.38,8.99,西北,宁夏,家具产品,办公装饰品,Kleencut_ Forged Office Shears by Acme United Corporation,小型包裹,2009/11/6 0:00
37862,2009/1/12 0:00,李治灿,其它,27,1603.27,0.01,火车,452.49,59.98,3.99,西北,宁夏,办公用品,家用电器,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2009/1/15 0:00
38279,2012/4/29 0:00,王然,中级,1,11.64,0.05,火车,-10.73,7.59,4,西北,宁夏,家具产品,办公装饰品,Kleencut_ Forged Office Shears by Acme United Corporation,打包纸袋,2012/5/1 0:00
28451,2009/1/5 0:00,胡培生,中级,21,4201.08,0.01,火车,1162.76,194.3,11.54,西北,宁夏,家具产品,办公装饰品,Kleencut_ Forged Office Shears by Acme United Corporation,大型箱子,2009/1/7 0:00
28451,2009/1/5 0:00,胡培生,中级,41,8958.46,0.02,火车,2593.14,209.84,21.21,西北,宁夏,家具产品,办公装饰品,Kleencut_ Forged Office Shears by Acme United Corporation,大型箱子,2009/1/6 0:00
28451,2009/1/5 0:00,胡培生,中级,33,4913.7,0,大卡,1054.93,145.45,17.85,西北,宁夏,技术产品,办公机器,Kleencut_ Forged Office Shears by Acme United Corporation,巨型木箱,2009/1/7 0:00
29318,2011/6/30 0:00,夏虎,其它,21,2954.14,0.04,空运,-522.94,138.14,35,西北,宁夏,办公用品,容器，箱子,Kleencut_ Forged Office Shears by Acme United Corporation,大型箱子,2011/7/1 0:00
29318,2011/6/30 0:00,夏虎,其它,34,3375.3075,0.1,火车,562.13,125.99,8.08,西北,宁夏,技术产品,电话通信产品,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2011/7/1 0:00
33703,2010/2/6 0:00,祁新平,其它,4,63.52,0.08,空运,-8.47,12.21,4.81,西北,宁夏,办公用品,容器，箱子,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2010/2/8 0:00
33729,2012/9/19 0:00,谢湘琪,其它,26,6995.56,0.07,火车,-286.58,279.48,35,西北,宁夏,办公用品,容器，箱子,Kleencut_ Forged Office Shears by Acme United Corporation,大型箱子,2012/9/20 0:00
38978,2009/8/3 0:00,王延东 ,低级,24,4547.26,0,大卡,468.27,180.98,30,西北,宁夏,家具产品,椅子,Kleencut_ Forged Office Shears by Acme United Corporation,巨型木箱,2009/8/5 0:00
39683,2011/8/10 0:00,李亚静,高级,30,68.14,0,火车,6.37,2.18,0.78,西北,宁夏,办公用品,橡皮筋,Kleencut_ Forged Office Shears by Acme United Corporation,打包纸袋,2011/8/12 0:00
39744,2009/7/6 0:00,齐千郡,中级,41,5636.3075,0.04,火车,1595.67,155.99,8.99,西北,宁夏,技术产品,电话通信产品,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2009/7/7 0:00
40998,2009/5/2 0:00,左鹏  ,中级,43,1233.22,0.05,火车,385.46,29.89,1.99,西北,宁夏,技术产品,电脑配件,Kleencut_ Forged Office Shears by Acme United Corporation,小型包裹,2009/5/3 0:00
43137,2011/2/26 0:00,赵彩瑞,高级,40,6069.05,0.05,火车,1816.71,155.06,7.07,西北,宁夏,办公用品,容器，箱子,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2011/2/27 0:00
43301,2009/8/21 0:00,赵磊华,中级,33,3537.84,0,大卡,-80.86,100.89,42,西北,宁夏,家具产品,椅子,Kleencut_ Forged Office Shears by Acme United Corporation,巨型木箱,2009/8/22 0:00
43815,2012/6/13 0:00,庄梦霞,其它,45,3577.81,0.03,火车,-1097.97,78.8,35,西北,宁夏,办公用品,容器，箱子,Kleencut_ Forged Office Shears by Acme United Corporation,大型箱子,2012/6/14 0:00
43875,2011/12/7 0:00,邱景涛,中级,24,382.19,0.03,空运,11.39,14.42,6.75,西北,宁夏,办公用品,家用电器,Kleencut_ Forged Office Shears by Acme United Corporation,中型箱子,2011/12/10 0:00
46117,2011/5/22 0:00,陈梅,低级,22,1168.28,0.02,大卡,126.07,50.98,14.19,西北,宁夏,家具产品,椅子,Kleencut_ Forged Office Shears by Acme United Corporation,巨型木箱,2011/5/26 0:00
46119,2009/2/15 0:00,陈华,中级,23,93.05,0.03,火车,15.27,3.8,1.49,西北,宁夏,办公用品,夹子及其配件 ,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2009/2/17 0:00
46119,2009/2/15 0:00,张威微,中级,46,18824.42,0.07,大卡,-575.35,417.4,75.23,西北,宁夏,家具产品,桌子,Kleencut_ Forged Office Shears by Acme United Corporation,巨型纸箱,2009/2/16 0:00
47367,2011/4/16 0:00,姚子扬,中级,6,21.07,0.08,火车,2.28,3.69,0.5,西北,宁夏,办公用品,标签,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2011/4/17 0:00
47398,2011/6/17 0:00,杨雅,中级,6,1307.184,0.03,大卡,-184.06,262.11,62.74,西北,宁夏,家具产品,桌子,Kleencut_ Forged Office Shears by Acme United Corporation,巨型纸箱,2011/6/19 0:00
47399,2012/8/1 0:00,杨雅,低级,26,145.76,0,火车,5.67,5.28,2.99,西北,宁夏,办公用品,夹子及其配件 ,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2012/8/1 0:00
47457,2009/6/3 0:00,朱海燕,低级,50,8230.77,0.05,火车,1577.02,161.55,19.99,西北,宁夏,办公用品,容器，箱子,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2009/6/8 0:00
47879,2012/1/11 0:00,邓鹏,中级,19,172.54,0.08,火车,44.23,9.11,2.15,西北,宁夏,办公用品,纸张,Kleencut_ Forged Office Shears by Acme United Corporation,打包纸袋,2012/1/12 0:00
48455,2009/6/2 0:00,石昆,中级,17,182.47,0.05,火车,-3.18,10.98,3.37,西北,宁夏,办公用品,剪刀，尺子，锯,Kleencut_ Forged Office Shears by Acme United Corporation,小型包裹,2009/6/3 0:00
48483,2009/12/10 0:00,殷子涵,中级,18,47.55,0,空运,10.01,2.21,1,西北,宁夏,办公用品,笔、美术用品,Kleencut_ Forged Office Shears by Acme United Corporation,打包纸袋,2009/12/11 0:00
49735,2009/9/23 0:00,卢亚灵,其它,32,1929.19,0.04,火车,570.67,60.97,4.5,西北,宁夏,办公用品,家用电器,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2009/9/24 0:00
50786,2009/10/12 0:00,高浩,低级,4,487.72,0.06,大卡,-192.3,119.99,14,西北,宁夏,技术产品,办公机器,Kleencut_ Forged Office Shears by Acme United Corporation,巨型木箱,2009/10/19 0:00
51205,2012/12/10 0:00,王洪利,高级,5,225.72,0,火车,16.65,39.98,9.83,西北,宁夏,办公用品,信封,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2012/12/11 0:00
51269,2012/1/12 0:00,任东霖,高级,2,21.07,0,火车,-10.43,8.69,2.99,西北,宁夏,办公用品,夹子及其配件 ,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2012/1/13 0:00
51975,2009/12/18 0:00,孙大强,低级,12,1064.7865,0.1,火车,-181.01,115.99,2.5,西北,宁夏,技术产品,电话通信产品,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2009/12/22 0:00
52002,2009/6/4 0:00,马立强,高级,11,2489.85,0.06,大卡,-566.5,218.75,69.64,西北,宁夏,家具产品,桌子,Kleencut_ Forged Office Shears by Acme United Corporation,巨型纸箱,2009/6/5 0:00
52006,2009/6/24 0:00,谢湘琪,中级,39,392.81,0.1,火车,13.91,10.48,2.89,西北,宁夏,办公用品,笔、美术用品,Kleencut_ Forged Office Shears by Acme United Corporation,小型包裹,2009/6/25 0:00
52896,2010/10/22 0:00,任克强,高级,49,188.7,0.07,火车,77.02,4.13,0.5,西北,宁夏,办公用品,标签,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2010/10/25 0:00
52929,2011/4/8 0:00,王勇民,高级,43,701.46,0.04,空运,-90.14,15.99,9.4,西北,宁夏,技术产品,办公机器,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2011/4/9 0:00
52929,2011/4/8 0:00,王勇民,高级,19,53.94,0.05,火车,-6.53,2.78,1.25,西北,宁夏,办公用品,笔、美术用品,Kleencut_ Forged Office Shears by Acme United Corporation,打包纸袋,2011/4/9 0:00
54181,2012/5/18 0:00,刘波,高级,12,2608.79,0.03,大卡,67.36,213.45,14.7,西北,宁夏,技术产品,办公机器,Kleencut_ Forged Office Shears by Acme United Corporation,巨型木箱,2012/5/20 0:00
55362,2011/4/20 0:00,李青,高级,24,67.84,0.07,火车,13.44,2.88,0.99,西北,宁夏,办公用品,标签,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2011/4/22 0:00
55367,2009/1/10 0:00,张中立,中级,48,571.17,0.05,火车,129.87,11.55,2.36,西北,宁夏,办公用品,笔、美术用品,Kleencut_ Forged Office Shears by Acme United Corporation,打包纸袋,2009/1/12 0:00
55392,2009/6/6 0:00,李亚宾,中级,20,129.3,0.02,火车,40.2,6.47,1.22,西北,宁夏,办公用品,笔、美术用品,Kleencut_ Forged Office Shears by Acme United Corporation,打包纸袋,2009/6/7 0:00
56807,2009/4/21 0:00,贺晓晨,高级,1,47.04,0.06,火车,-24.63,42.98,4.62,西北,宁夏,办公用品,家用电器,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2009/4/23 0:00
59974,2012/8/5 0:00,朱海燕,低级,11,1255.48,0.06,大卡,-292.65,115.99,56.14,西北,宁夏,技术产品,办公机器,Kleencut_ Forged Office Shears by Acme United Corporation,巨型木箱,2012/8/7 0:00
59978,2012/9/22 0:00,向羽,高级,45,712.04,0.07,火车,-110.93,15.99,9.4,西北,宁夏,技术产品,办公机器,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2012/9/23 0:00
7107,2012/1/4 0:00,谢周佩,其它,3,172.04,0.02,火车,143.08,54.2,11.1,华东,安徽,家具产品,办公装饰品,Kleencut_ Forged Office Shears by Acme United Corporation,中型箱子,2012/1/4 0:00
7107,2012/1/4 0:00,谢周佩,其它,32,1724.82,0.1,火车,407.8,55.29,5.08,华东,安徽,办公用品,容器，箱子,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2012/1/5 0:00
7110,2011/8/7 0:00,赵正玉 ,低级,22,6396.2,0.02,火车,1902.24,276.2,24.49,华东,安徽,家具产品,椅子,Kleencut_ Forged Office Shears by Acme United Corporation,大型箱子,2011/8/11 0:00
7136,2009/3/22 0:00,张平敏,高级,17,642.9,0.07,火车,88.72,39.48,1.99,华东,安徽,技术产品,电脑配件,Kleencut_ Forged Office Shears by Acme United Corporation,小型包裹,2009/3/24 0:00
7136,2009/3/22 0:00,张平敏,高级,9,47.28,0,火车,17.05,4.91,0.5,华东,安徽,办公用品,标签,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2009/3/24 0:00
7175,2010/2/7 0:00,王军,中级,10,748.25,0.05,大卡,-86.99,70.98,26.74,华东,安徽,家具产品,书架,Kleencut_ Forged Office Shears by Acme United Corporation,巨型纸箱,2010/2/9 0:00
7458,2012/4/4 0:00,王霞,中级,46,511.07,0.01,火车,-165.74,10.97,6.5,华东,安徽,技术产品,电脑配件,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2012/4/5 0:00
7936,2010/4/5 0:00,廖智勇,低级,50,2851.17,0.06,大卡,-868.88,58.14,36.61,华东,安徽,家具产品,书架,Kleencut_ Forged Office Shears by Acme United Corporation,巨型纸箱,2010/4/5 0:00
8320,2009/9/19 0:00,贾明波,其它,35,1142.36,0.02,火车,72.78,30.73,4,华东,安徽,技术产品,电脑配件,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2009/9/22 0:00
8353,2009/5/15 0:00,孙嘉伟,中级,34,286.9,0.06,火车,-36.63,8.32,2.38,华东,安徽,技术产品,电脑配件,Kleencut_ Forged Office Shears by Acme United Corporation,小型包裹,2009/5/17 0:00
8801,2012/8/10 0:00,陈平,低级,32,2593.08,0,空运,-673.31,79.52,48.2,华东,安徽,家具产品,办公装饰品,Kleencut_ Forged Office Shears by Acme United Corporation,中型箱子,2012/8/15 0:00
8994,2009/4/7 0:00,邱威微,低级,36,1423.35,0.1,火车,-580.32,40.48,19.99,华东,安徽,技术产品,电脑配件,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2009/4/9 0:00
9152,2010/8/20 0:00,许磊,其它,43,292.808,0.05,火车,-129.69,7.99,5.03,华东,安徽,技术产品,电话通信产品,Kleencut_ Forged Office Shears by Acme United Corporation,中型箱子,2010/8/20 0:00
9187,2009/8/21 0:00,高云浩,高级,40,174.64,0.04,火车,-143.23,4.37,5.15,华东,安徽,办公用品,家用电器,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2009/8/22 0:00
9637,2009/1/3 0:00,吴林林,低级,12,123.76,0.04,火车,32.44,10.14,2.27,华东,安徽,办公用品,纸张,Kleencut_ Forged Office Shears by Acme United Corporation,打包纸袋,2009/1/7 0:00
10022,2009/3/4 0:00,朱梅芳,低级,1,12.18,0.06,火车,-3.88,10.14,2.27,华东,安徽,办公用品,纸张,Kleencut_ Forged Office Shears by Acme United Corporation,打包纸袋,2009/3/4 0:00
10048,2009/5/15 0:00,范钺,其它,21,78.57,0.02,火车,-20.65,3.68,1.32,华东,安徽,办公用品,剪刀，尺子，锯,Kleencut_ Forged Office Shears by Acme United Corporation,打包纸袋,2009/5/17 0:00
10210,2011/6/23 0:00,庄斌,其它,10,767.34,0.04,火车,-154.65,73.98,14.52,华东,安徽,技术产品,电脑配件,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2011/6/24 0:00
10470,2012/5/4 0:00,郭明中,低级,20,2913.1455,0.09,火车,333.72,175.99,4.99,华东,安徽,技术产品,电话通信产品,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2012/5/6 0:00
10629,2009/9/11 0:00,张瑶培,中级,39,341.55,0.06,火车,-255.65,8.37,10.16,华东,安徽,家具产品,办公装饰品,Kleencut_ Forged Office Shears by Acme United Corporation,大型箱子,2009/9/13 0:00
10944,2011/11/12 0:00,蔡松敏,高级,9,181.66,0,火车,-27.47,17.98,8.51,华东,安徽,技术产品,办公机器,Kleencut_ Forged Office Shears by Acme United Corporation,中型箱子,2011/11/14 0:00
10945,2012/1/3 0:00,王江仿,中级,14,1170.025,0.04,火车,4.22,95.99,8.99,华东,安徽,技术产品,电话通信产品,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2012/1/5 0:00
10948,2012/8/13 0:00,高云安,中级,50,193.11,0.08,火车,-263.76,3.89,7.01,华东,安徽,办公用品,夹子及其配件 ,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2012/8/13 0:00
10949,2009/3/30 0:00,谢语乔,中级,46,3449.26,0.1,大卡,252.77,80.97,30.06,华东,安徽,技术产品,办公机器,Kleencut_ Forged Office Shears by Acme United Corporation,巨型纸箱,2009/3/31 0:00
11431,2012/8/1 0:00,赵龙丽,高级,8,1273.266,0.1,火车,-615.67,205.99,8.99,华东,安徽,技术产品,电话通信产品,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2012/8/2 0:00
11650,2012/9/24 0:00,吴媛,其它,26,1090.4,0.06,火车,146.24,40.97,8.99,华东,安徽,办公用品,笔、美术用品,Kleencut_ Forged Office Shears by Acme United Corporation,小型包裹,2012/9/26 0:00
11714,2009/8/4 0:00,胡广宇,中级,9,141.83,0.06,火车,-35.69,15.73,7.42,华东,安徽,办公用品,剪刀，尺子，锯,Kleencut_ Forged Office Shears by Acme United Corporation,小型包裹,2009/8/5 0:00
11968,2011/3/16 0:00,邱威微,低级,31,109.49,0.04,火车,26.09,3.38,0.85,华东,安徽,办公用品,笔、美术用品,Kleencut_ Forged Office Shears by Acme United Corporation,打包纸袋,2011/3/16 0:00
11975,2011/4/13 0:00,林钊,中级,43,210.66,0.08,火车,-145.72,5.18,5.74,华东,安徽,办公用品,夹子及其配件 ,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2011/4/15 0:00
12005,2012/6/24 0:00,唐俊鹏,其它,4,1660.86,0.04,火车,-164.59,415.88,11.37,华东,安徽,办公用品,容器，箱子,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2012/6/26 0:00
12039,2010/6/16 0:00,杨青烦,高级,13,2048.568,0.1,火车,-259.99,205.99,8.99,华东,安徽,技术产品,电话通信产品,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2010/6/18 0:00
12160,2010/12/12 0:00,高瑞光,低级,9,38.3,0.01,火车,-42.49,3.36,6.27,华东,安徽,家具产品,办公装饰品,Kleencut_ Forged Office Shears by Acme United Corporation,大型箱子,2010/12/17 0:00
12194,2011/3/1 0:00,艾梅芳,中级,19,3355.154,0,火车,658.5,195.99,3.99,华东,安徽,技术产品,电话通信产品,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2011/3/2 0:00
12452,2010/12/7 0:00,吕一楠 ,中级,1,356.95,0.08,火车,-228.24,387.99,19.99,华东,安徽,办公用品,夹子及其配件 ,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2010/12/8 0:00
12902,2010/10/29 0:00,高子祥,其它,30,3645.45,0.04,大卡,-765.5,120.98,56.7,华东,安徽,家具产品,书架,Kleencut_ Forged Office Shears by Acme United Corporation,巨型纸箱,2010/10/31 0:00
12903,2009/9/25 0:00,蔡松,中级,2,63.427,0.07,火车,-191.79,35.99,5,华东,安徽,技术产品,电话通信产品,Kleencut_ Forged Office Shears by Acme United Corporation,打包纸袋,2009/9/27 0:00
12929,2010/8/30 0:00,邹捷瑜,中级,19,5297.47,0.02,大卡,-158.93,270.98,50,华东,安徽,家具产品,椅子,Kleencut_ Forged Office Shears by Acme United Corporation,巨型木箱,2010/8/31 0:00
229,2010/12/28 0:00,张新,中级,43,586.11,0.11,火车,98.44,12.64,4.98,华东,安徽,家具产品,办公装饰品,Kleencut_ Forged Office Shears by Acme United Corporation,小型包裹,2010/12/30 0:00
230,2010/10/26 0:00,赵晓平 ,中级,47,2029.75,0.06,火车,320.37,43.98,8.99,华东,安徽,办公用品,笔、美术用品,Kleencut_ Forged Office Shears by Acme United Corporation,小型包裹,2010/10/28 0:00
324,2012/3/19 0:00,包小林,中级,25,3872.634,0.02,火车,667.33,179.99,13.99,华东,安徽,技术产品,电话通信产品,Kleencut_ Forged Office Shears by Acme United Corporation,中型箱子,2012/3/21 0:00
420,2011/10/30 0:00,王仲奇,其它,6,41.7,0.03,火车,-14.56,5.78,5.37,华东,安徽,办公用品,纸张,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2011/11/1 0:00
678,2010/2/26 0:00,周文龙,低级,44,228.41,0.07,火车,-226.36,4.98,8.33,华东,安徽,办公用品,纸张,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2010/2/26 0:00
928,2011/3/1 0:00,贺军翔,低级,26,390.2,0.02,空运,45,14.58,7.4,华东,安徽,家具产品,办公装饰品,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2011/3/3 0:00
1028,2009/1/5 0:00,田凤琴,高级,6,165.75,0.03,火车,-28.46,28.48,1.99,华东,安徽,技术产品,电脑配件,Kleencut_ Forged Office Shears by Acme United Corporation,小型包裹,2009/1/6 0:00
1317,2011/5/18 0:00,韩民,高级,44,523.42,0.06,火车,39.42,11.7,5.63,华东,安徽,办公用品,夹子及其配件 ,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2011/5/20 0:00
2048,2010/11/14 0:00,唐晋伟,中级,12,3752.61,0.01,大卡,637.93,294.62,42.52,华东,安徽,办公用品,家用电器,Kleencut_ Forged Office Shears by Acme United Corporation,巨型木箱,2010/11/15 0:00
2054,2012/6/7 0:00,余春涛,其它,34,826.09,0.03,火车,215.86,22.98,7.58,华东,安徽,家具产品,办公装饰品,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2012/6/9 0:00
2309,2011/9/3 0:00,赵丽,低级,7,27.01,0.05,火车,-1.3,3.8,1.49,华东,安徽,办公用品,夹子及其配件 ,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2011/9/5 0:00
2818,2009/12/11 0:00,代宝敏,中级,2,89.23,0.02,火车,-42.72,38.76,13.26,华东,安徽,办公用品,纸张,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2009/12/12 0:00
3104,2010/9/15 0:00,唐伟明,中级,24,380.38,0.06,空运,7.29,15.94,5.45,华东,安徽,办公用品,笔、美术用品,Kleencut_ Forged Office Shears by Acme United Corporation,小型包裹,2010/9/15 0:00
3108,2010/8/4 0:00,姚军,中级,36,65.39,0.09,火车,-0.46,1.82,1,华东,安徽,办公用品,笔、美术用品,Kleencut_ Forged Office Shears by Acme United Corporation,打包纸袋,2010/8/5 0:00
3109,2010/7/23 0:00,郝磊,低级,47,1005.74,0.1,火车,199.3,22.23,8.99,华东,安徽,家具产品,办公装饰品,Kleencut_ Forged Office Shears by Acme United Corporation,小型包裹,2010/7/30 0:00
3205,2012/4/10 0:00,胡大鹏,低级,42,2907.63,0.04,空运,54.6,71.37,69,华东,安徽,家具产品,桌子,Kleencut_ Forged Office Shears by Acme United Corporation,大型箱子,2012/4/14 0:00
3232,2012/10/8 0:00,夏东鹏 ,中级,5,42.66,0.06,火车,-11.83,7.84,4.71,华东,安徽,办公用品,夹子及其配件 ,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2012/10/10 0:00
3649,2009/7/5 0:00,吕果 ,低级,8,79.42,0.01,火车,-15.46,8.88,6.28,华东,安徽,办公用品,夹子及其配件 ,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2009/7/10 0:00
3749,2011/2/23 0:00,王忠敏,中级,27,353.62,0.01,火车,140.15,12.97,1.49,华东,安徽,办公用品,夹子及其配件 ,Kleencut_ Forged Office Shears by Acme United Corporation,小型箱子,2011/2/25 0:00
3845,2012/4/25 0:00,马小林,中级,15,123.91,0.09,火车,39.04,8.34,0.96,华东,安徽,家具产品,办公装饰品,Kleencut_ Forged Office Shears by Acme United Corporation,打包纸袋,2012/4/26 0:00
